core,CPD_A,SMILES_A,R_A,pKi_A,LogD_A,Sol_A_uM,CPD_B,SMILES_B,R_B,pKi_B,LogD_B,Sol_B_uM,delta_pKi,delta_LogD,delta_LogSol,abs_delta_pKi,physchem_shift,potency_specificity
CC(C)N1CCC(NC(=O)c2nc3cc([*:1])ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,CPD_444,CC(C)N1CCC(NC(=O)c2nc3cc(S(=O)(=O)CCO)ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,O=S(=O)(CCO)[*:1],7.15,0.282,890.0,CPD_942,CCOCC(O)COc1ccc2c(c1)nc(C(=O)NC1CCN(C(C)C)CC1)n2CC(=O)Nc1ccc(Cl)cn1,CCOCC(O)CO[*:1],8.1,1.877,390.0,0.95,1.59,-0.36,0.95,1.630245380303223,0.505253202561676
CC(C)N1CCC(NC(=O)c2nc3c([*:1])cccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_305,COC(=O)c1cccc2c1nc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,COC(=O)[*:1],8.42,3.133,16.0,CPD_434,CC(C)N1CCC(NC(=O)c2nc3c(C(=O)NCC(O)CCl)cccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,O=C(NCC(O)CCl)[*:1],9.36,1.992,49.0,0.95,-1.14,0.49,0.95,1.2408464852672145,0.6372218799105429
COc1cccc(Cn2c(C(=O)NC3CCN(C(C)C)CC3)cc3c([*:1])cccc32)c1,CPD_524,COc1cccc(Cn2c(C(=O)NC3CCN(C(C)C)CC3)cc3c(C(=O)N(C)CCO)cccc32)c1,CN(CCO)C(=O)[*:1],6.8,-1.188,1270000.0,CPD_908,COc1cccc(Cn2c(C(=O)NC3CCN(C(C)C)CC3)cc3c(OCCO)cccc32)c1,OCCO[*:1],7.74,0.186,65000.0,0.94,1.37,-1.29,0.94,1.881754500459611,0.44095133834469863
CC(C)N1CCC(NC(=O)c2cc3cc([*:1])ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_335,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)N(CCO)CCO)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,O=C(N(CCO)CCO)[*:1],6.64,-1.074,41000.0,CPD_365,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)OC4CCOC4)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,O=C(OC1CCOC1)[*:1],7.58,1.734,120.0,0.94,2.81,-2.53,0.94,3.781137395017536,0.2331848081292974
Clc1ccc(-c2cc(Cn3c([*:1])nc4ccccc43)no2)s1,CPD_557,O=C(Nc1ccc(N2CCS(=O)(=O)CC2)cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=C(Nc1ccc(N2CCS(=O)(=O)CC2)cc1)[*:1],5.0,3.236,0.4,CPD_978,O=C(c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1)N1CCN(Cc2ccncc2)CC1,O=C(N1CCN(Cc2ccncc2)CC1)[*:1],5.93,3.205,2.8,0.93,-0.03,0.85,0.93,0.8505292469985967,0.8450479644555835
CC(C)N1CCC(NC(=O)c2cc3c([*:1])cccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_132,CC(C)N1CCC(NC(=O)c2cc3c(C(F)(F)F)cccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,FC(F)(F)[*:1],7.82,2.572,90.0,CPD_186,Cc1oc(=O)oc1COC(=O)c1cccc2c1cc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,Cc1oc(=O)oc1COC(=O)[*:1],8.75,3.186,9.7,0.93,0.61,-0.97,0.93,1.1458621208504973,0.6662549159463916
Clc1ccc(-c2cc(Cn3c([*:1])nc4ccccc43)no2)s1,CPD_421,Cc1ccc(=O)n(-c2ccc(NC(=O)c3nc4ccccc4n3Cc3cc(-c4ccc(Cl)s4)on3)cc2)n1,Cc1ccc(=O)n(-c2ccc(NC(=O)[*:1])cc2)n1,5.0,3.824,0.3,CPD_978,O=C(c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1)N1CCN(Cc2ccncc2)CC1,O=C(N1CCN(Cc2ccncc2)CC1)[*:1],5.93,3.205,2.8,0.93,-0.62,0.97,0.93,1.1512167476196653,0.6637088812846759
Clc1ccc(-c2cc(Cn3c([*:1])nc4ccccc43)no2)s1,CPD_458,O=C(Nc1ccc(-n2ncccc2=O)cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=C(Nc1ccc(-n2ncccc2=O)cc1)[*:1],5.0,4.288,0.2,CPD_978,O=C(c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1)N1CCN(Cc2ccncc2)CC1,O=C(N1CCN(Cc2ccncc2)CC1)[*:1],5.93,3.205,2.8,0.93,-1.08,1.15,0.93,1.577624796965362,0.5088571798457744
CC(C)N1CCC(NC(=O)c2cc3cc([*:1])ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_344,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)N4CC(O)C4)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,O=C(N1CC(O)C1)[*:1],7.23,-1.036,6400.0,CPD_364,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)OCCN4CCNC4=O)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,O=C1NCCN1CCOC(=O)[*:1],8.16,1.632,44.0,0.93,2.67,-2.16,0.93,3.4343121582057736,0.25242160817689824
CC(C)N1CCC(NC(=O)c2nc3c(O)nccc3n2[*:1])CC1,CPD_835,CC(C)N1CCC(NC(=O)c2nc3c(O)nccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,O=C(C[*:1])Nc1ccc(Cl)cn1,7.36,0.654,1100.0,CPD_884,CC(C)N1CCC(NC(=O)c2nc3c(O)nccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,Clc1ccc(-c2cc(C[*:1])no2)s1,8.28,1.471,100.0,0.93,0.82,-1.04,0.93,1.3243866504914643,0.590706228174438
CC(C)N1CCC(NC(=O)c2cc3c([*:1])cccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_39,CC(C)N1CCC(NC(=O)c2cc3c(Br)cccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,Br[*:1],7.82,2.781,71.0,CPD_186,Cc1oc(=O)oc1COC(=O)c1cccc2c1cc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,Cc1oc(=O)oc1COC(=O)[*:1],8.75,3.186,9.7,0.93,0.4,-0.86,0.93,0.94847245611035,0.7759877961804152
Clc1ccc(-c2cc(Cn3c([*:1])cc4ccccc43)no2)s1,CPD_43,O=C(c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1)N1CCC(Oc2ccncc2)CC1,O=C(N1CCC(Oc2ccncc2)CC1)[*:1],5.53,3.739,1.1,CPD_180,CC(C)CN1CC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)C1,CC(C)CN1CC(NC(=O)[*:1])C1,6.46,2.966,47.0,0.93,-0.77,1.63,0.93,1.8027201668589607,0.45305736993029644
CC(C)N1CCC(NC(=O)c2cc3cc([*:1])ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_162,CC(OC(=O)c1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1)OC(=O)C(C)(C)C,CC(OC(=O)C(C)(C)C)OC(=O)[*:1],7.04,3.499,26.0,CPD_194,Cc1oc(=O)oc1COC(=O)c1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,Cc1oc(=O)oc1COC(=O)[*:1],7.96,3.174,10.0,0.92,-0.33,-0.41,0.92,0.5263078946776306,1.185096797684943
CC(C)N1CCC(NC(=O)c2nc3c([*:1])cccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_333,CC(C)N1CCC(NC(=O)c2nc3c(C(=O)O)cccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,O=C(O)[*:1],8.44,2.191,0.6,CPD_434,CC(C)N1CCC(NC(=O)c2nc3c(C(=O)NCC(O)CCl)cccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,O=C(NCC(O)CCl)[*:1],9.36,1.992,49.0,0.92,-0.2,1.91,0.92,1.920442657305862,0.42387666723339396
CC(C)N1CCC(NC(=O)c2cc3cc([*:1])ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_162,CC(OC(=O)c1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1)OC(=O)C(C)(C)C,CC(OC(=O)C(C)(C)C)OC(=O)[*:1],7.04,3.499,26.0,CPD_171,CCOC(=O)c1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,CCOC(=O)[*:1],7.96,2.492,130.0,0.92,-1.01,0.7,0.92,1.2288612614937457,0.6221002767161136
Clc1ccc(-c2cc(Cn3c([*:1])nc4ccccc43)no2)s1,CPD_557,O=C(Nc1ccc(N2CCS(=O)(=O)CC2)cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=C(Nc1ccc(N2CCS(=O)(=O)CC2)cc1)[*:1],5.0,3.236,0.4,CPD_979,CCN(CC)C(=O)N1CCN(C(=O)c2nc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CCN(CC)C(=O)N1CCN(C(=O)[*:1])CC1,5.92,4.096,0.6,0.92,0.86,0.18,0.92,0.8786353054595518,0.8151437364662265
Clc1ccc(-c2cc(Cn3c([*:1])nc4ccccc43)no2)s1,CPD_421,Cc1ccc(=O)n(-c2ccc(NC(=O)c3nc4ccccc4n3Cc3cc(-c4ccc(Cl)s4)on3)cc2)n1,Cc1ccc(=O)n(-c2ccc(NC(=O)[*:1])cc2)n1,5.0,3.824,0.3,CPD_979,CCN(CC)C(=O)N1CCN(C(=O)c2nc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CCN(CC)C(=O)N1CCN(C(=O)[*:1])CC1,5.92,4.096,0.6,0.92,0.27,0.3,0.92,0.40360872141221127,1.4075699571636895
Clc1ccc(-c2cc(Cn3c([*:1])nc4ccccc43)no2)s1,CPD_458,O=C(Nc1ccc(-n2ncccc2=O)cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=C(Nc1ccc(-n2ncccc2=O)cc1)[*:1],5.0,4.288,0.2,CPD_979,CCN(CC)C(=O)N1CCN(C(=O)c2nc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CCN(CC)C(=O)N1CCN(C(=O)[*:1])CC1,5.92,4.096,0.6,0.92,-0.19,0.48,0.92,0.5162363799656122,1.2006738704331534
CC(C)N1CCC(NC(=O)c2cc3cc([*:1])ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,CPD_393,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)N4CCCOCC4)ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,O=C(N1CCCOCC1)[*:1],7.64,-0.942,58000.0,CPD_865,CC(C)N1CCC(NC(=O)c2cc3cc(OCCOCCO)ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,OCCOCCO[*:1],8.55,-0.117,77000.0,0.92,0.82,0.12,0.92,0.8287339742040264,0.8528516038246106
CC(C)N1CCC(NC(=O)c2cc3cc([*:1])ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_167,CCOC(=O)OC(C)OC(=O)c1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,CCOC(=O)OC(C)OC(=O)[*:1],7.38,2.914,58.0,CPD_181,CC(C)N1CCC(NC(=O)c2cc3cc(OCC(=O)O)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,O=C(O)CO[*:1],8.3,0.774,4.7,0.92,-2.14,-1.09,0.92,2.4016036309099804,0.34695985073918206
CC(C)N1CCC(NC(=O)c2nc3ccc([*:1])cc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,CPD_387,CC(OC(=O)OC1CCCCC1)OC(=O)c1ccc2nc(C(=O)NC3CCN(C(C)C)CC3)n(CC(=O)Nc3ccc(Cl)cn3)c2c1,CC(OC(=O)OC1CCCCC1)OC(=O)[*:1],6.06,4.788,4.3,CPD_790,CC(C)N1CCC(NC(=O)c2nc3ccc(OCCO)cc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,OCCO[*:1],6.98,1.282,760.0,0.92,-3.51,2.25,0.92,4.169244535884169,0.20818037846279386
O=C(N[*:1])c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,CPD_18,COC(=O)N1CCC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,COC(=O)N1CCC([*:1])CC1,5.75,3.257,1.6,CPD_73,CCC(CC)N1CCC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CCC(CC)N1CCC([*:1])CC1,6.66,3.315,49.0,0.91,0.06,1.49,0.91,1.4912075643584968,0.5226258021313307
CC(C)N1CCC(NC(=O)c2nc3c(C(=O)N4CC(O)C4)cccc3n2[*:1])CC1,CPD_527,CC(C)N1CCC(NC(=O)c2nc3c(C(=O)N4CC(O)C4)cccc3n2CCc2ccc(Cl)cc2)CC1,Clc1ccc(CC[*:1])cc1,6.89,0.47,1100.0,CPD_756,CC(C)N1CCC(NC(=O)c2nc3c(C(=O)N4CC(O)C4)cccc3n2Cc2cc3ccc(Cl)cc3s2)CC1,Clc1ccc2cc(C[*:1])sc2c1,7.8,2.225,35.0,0.91,1.76,-1.5,0.91,2.3124878378058553,0.3551236367151669
O=C(N[*:1])c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,CPD_63,CC(C)N1CC[C@H](NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)C1,CC(C)N1CC[C@H]([*:1])C1,6.99,1.909,390.0,CPD_178,O=C(NC1CN(c2ccncc2)C1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,c1cc(N2CC([*:1])C2)ccn1,7.9,1.282,330.0,0.91,-0.63,-0.07,0.91,0.6338769596696192,1.0295550642480207
CC(C)N1CCC(NC(=O)c2cc3cc([*:1])ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_368,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)NCCN4CCNC4=O)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,O=C1NCCN1CCNC(=O)[*:1],7.32,0.289,190.0,CPD_404,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)OCCO)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,O=C(OCCO)[*:1],8.24,0.885,1400.0,0.91,0.6,0.87,0.91,1.0568348972285122,0.6963389192696758
CC(C)N1CCC(NC(=O)c2cc3cc([*:1])ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,CPD_332,CC(OC(=O)OC1CCCCC1)OC(=O)c1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2CC(=O)Nc1ccc(Cl)cn1,CC(OC(=O)OC1CCCCC1)OC(=O)[*:1],7.48,3.475,140.0,CPD_743,COCCOc1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2CC(=O)Nc1ccc(Cl)cn1,COCCO[*:1],8.39,0.599,20000.0,0.91,-2.88,2.15,0.91,3.594008903717407,0.2367320219055608
COc1cccc(Cn2c(C(=O)NC3CCN(C(C)C)CC3)cc3c([*:1])cccc32)c1,CPD_680,COc1cccc(Cn2c(C(=O)NC3CCN(C(C)C)CC3)cc3c(C(=O)N4CCC(F)(F)CC4)cccc32)c1,O=C(N1CCC(F)(F)CC1)[*:1],6.83,-0.127,22000.0,CPD_908,COc1cccc(Cn2c(C(=O)NC3CCN(C(C)C)CC3)cc3c(OCCO)cccc32)c1,OCCO[*:1],7.74,0.186,65000.0,0.91,0.31,0.47,0.91,0.5630275304103699,1.1192732914476882
Clc1ccc(-c2cc(Cn3c([*:1])cc4ccccc43)no2)s1,CPD_22,NC(=O)N1CCC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,NC(=O)N1CCC(NC(=O)[*:1])CC1,5.97,1.914,8.7,CPD_23,CS(=O)(=O)N1CCC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CS(=O)(=O)N1CCC(NC(=O)[*:1])CC1,6.87,3.257,1.1,0.9,1.34,-0.9,0.9,1.614187101918486,0.4827841578100103
FC(F)(F)c1cccc2c1cc([*:1])n2Cc1cc(-c2ccc(Cl)s2)on1,CPD_124,CCOC(=O)CN(C(=O)c1cc2c(C(F)(F)F)cccc2n1Cc1cc(-c2ccc(Cl)s2)on1)C1CCN(C(C)C)CC1,CCOC(=O)CN(C(=O)[*:1])C1CCN(C(C)C)CC1,6.92,3.361,120.0,CPD_132,CC(C)N1CCC(NC(=O)c2cc3c(C(F)(F)F)cccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CC(C)N1CCC(NC(=O)[*:1])CC1,7.82,2.572,90.0,0.9,-0.79,-0.12,0.9,0.7990619500389191,0.8579092969358111
Clc1ccc(-c2cc(Cn3c([*:1])cc4ccccc43)no2)s1,CPD_18,COC(=O)N1CCC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,COC(=O)N1CCC(NC(=O)[*:1])CC1,5.75,3.257,1.6,CPD_177,CC(C)N1CC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)C1,CC(C)N1CC(NC(=O)[*:1])C1,6.65,2.16,190.0,0.9,-1.1,2.07,0.9,2.344120304079976,0.3469384201590418
O=C(N[*:1])c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,CPD_58,CCN1CC[C@@H](NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)C1,CCN1CC[C@@H]([*:1])C1,7.0,1.624,680.0,CPD_178,O=C(NC1CN(c2ccncc2)C1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,c1cc(N2CC([*:1])C2)ccn1,7.9,1.282,330.0,0.9,-0.34,-0.31,0.9,0.46010868281309364,1.267411625548152
CC(C)N1CCC(NC(=O)c2nc3c([*:1])cccc3n2Cc2cc3ccc(Cl)cc3s2)CC1,CPD_766,CC(C)N1CCC(NC(=O)c2nc3c(C(=O)N4CCN(C)CC4)cccc3n2Cc2cc3ccc(Cl)cc3s2)CC1,CN1CCN(C(=O)[*:1])CC1,7.87,3.286,13.0,CPD_769,CC(C)N1CCC(NC(=O)c2nc3c(C(=O)NCCO)cccc3n2Cc2cc3ccc(Cl)cc3s2)CC1,O=C(NCCO)[*:1],8.77,3.391,14.0,0.9,0.1,0.03,0.9,0.1044030650891055,2.539481422864439
Clc1ccc(-c2cc(Cn3c([*:1])cc4ccccc43)no2)s1,CPD_19,CC(=O)N1CCC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CC(=O)N1CCC(NC(=O)[*:1])CC1,6.12,3.157,3.8,CPD_31,O=C(NC1CCN(c2ccncn2)CC1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=C(NC1CCN(c2ccncn2)CC1)[*:1],7.01,3.217,2.8,0.89,0.06,-0.13,0.89,0.14317821063276354,2.263604584210487
O=C(Nc1ccc([*:1])cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,CPD_438,CCN1CCN(c2ccc(NC(=O)c3nc4ccccc4n3Cc3cc(-c4ccc(Cl)s4)on3)cc2)C(=O)C1=O,CCN1CCN([*:1])C(=O)C1=O,5.96,3.038,0.7,CPD_605,O=C(Nc1ccc(N2CCNCC2=O)cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=C1CNCCN1[*:1],6.85,3.407,0.8,0.89,0.37,0.06,0.89,0.3748332962798262,1.4243799190903252
CC(C)N1CCC(NC(=O)c2cc3cc([*:1])ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,CPD_345,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)N(C)CCO)ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,CN(CCO)C(=O)[*:1],7.5,-1.408,1040000.0,CPD_743,COCCOc1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2CC(=O)Nc1ccc(Cl)cn1,COCCO[*:1],8.39,0.599,20000.0,0.89,2.01,-1.72,0.89,2.6454678225221335,0.3073769264770328
Clc1ccc(-c2cc(Cn3c([*:1])cc4ccccc43)no2)s1,CPD_19,CC(=O)N1CCC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CC(=O)N1CCC(NC(=O)[*:1])CC1,6.12,3.157,3.8,CPD_58,CCN1CC[C@@H](NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)C1,CCN1CC[C@@H](NC(=O)[*:1])C1,7.0,1.624,680.0,0.89,-1.53,2.25,0.89,2.7209189624095753,0.2995706080377777
Clc1ccc(-c2cc(Cn3c([*:1])cc4ccccc43)no2)s1,CPD_31,O=C(NC1CCN(c2ccncn2)CC1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=C(NC1CCN(c2ccncn2)CC1)[*:1],7.01,3.217,2.8,CPD_178,O=C(NC1CN(c2ccncc2)C1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=C(NC1CN(c2ccncc2)C1)[*:1],7.9,1.282,330.0,0.89,-1.94,2.07,0.89,2.8369878392407677,0.28830693425047377
CC(C)N1CCC(NC(=O)c2nc3cc([*:1])ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,CPD_341,CC(C)N1CCC(NC(=O)c2nc3cc(C(=O)O)ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,O=C(O)[*:1],7.65,1.376,1.9,CPD_876,CC(C)N1CCC(NC(=O)c2nc3cc(OCc4nn[nH]n4)ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,C(O[*:1])c1nn[nH]n1,8.54,0.205,12.0,0.89,-1.17,0.8,0.89,1.4173566946961516,0.5337790065143727
O=C(Nc1ccc(-n2ccncc2=O)cc1)c1nc2ccccc2n1C[*:1],CPD_598,O=C(Cn1c(C(=O)Nc2ccc(-n3ccncc3=O)cc2)nc2ccccc21)Nc1ccc(Cl)cn1,O=C(Nc1ccc(Cl)cn1)[*:1],7.83,3.118,2.9,CPD_606,O=C(Nc1ccc(-n2ccncc2=O)cc1)c1nc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,Clc1ccc(-c2cc([*:1])no2)s1,8.71,3.934,0.3,0.88,0.82,-0.99,0.88,1.285496013218244,0.5731047117182735
COc1cccc(Cn2c(C(=O)NC3CCN(C(C)C)CC3)cc3c([*:1])cccc32)c1,CPD_522,COc1cccc(Cn2c(C(=O)NC3CCN(C(C)C)CC3)cc3c(C(=O)N4CC(OC)C4)cccc32)c1,COC1CN(C(=O)[*:1])C1,6.86,-1.147,91000.0,CPD_908,COc1cccc(Cn2c(C(=O)NC3CCN(C(C)C)CC3)cc3c(OCCO)cccc32)c1,OCCO[*:1],7.74,0.186,65000.0,0.88,1.33,-0.15,0.88,1.33843191832831,0.5540054879570322
CC(C)N1CCC(NC(=O)c2nc3cc([*:1])ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,CPD_444,CC(C)N1CCC(NC(=O)c2nc3cc(S(=O)(=O)CCO)ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,O=S(=O)(CCO)[*:1],7.15,0.282,890.0,CPD_785,CC(C)N1CCC(NC(=O)c2nc3cc(OCCO)ccc3n2CC(=O)Nc2ccc(Cl)cn2)CC1,OCCO[*:1],8.03,1.28,760.0,0.88,1.0,-0.07,0.88,1.0024470060806208,0.7026245387849599
O=C(N[*:1])c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,CPD_19,CC(=O)N1CCC(NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CC(=O)N1CCC([*:1])CC1,6.12,3.157,3.8,CPD_63,CC(C)N1CC[C@H](NC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)C1,CC(C)N1CC[C@H]([*:1])C1,6.99,1.909,390.0,0.88,-1.25,2.01,0.88,2.3669811997563475,0.3362653121397784
Clc1ccc(-c2cc(Cn3c([*:1])cc4ccccc43)no2)s1,CPD_204,CC(C)N1CC(CNC(=O)c2cc3ccccc3n2Cc2cc(-c3ccc(Cl)s3)on2)C1,CC(C)N1CC(CNC(=O)[*:1])C1,6.08,1.854,360.0,CPD_208,O=C(NC1CN(c2cc[n+]([O-])cc2)C1)c1cc2ccccc2n1Cc1cc(-c2ccc(Cl)s2)on1,O=C(NC1CN(c2cc[n+]([O-])cc2)C1)[*:1],6.96,1.058,17.0,0.88,-0.8,-1.33,0.88,1.552063143045411,0.4883291705932329
CC(C)N1CCC(NC(=O)c2cc3cc([*:1])ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_342,CC(C)N1CCC(NC(=O)c2cc3cc(C(=O)N(C)CCO)ccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CN(CCO)C(=O)[*:1],6.73,-0.441,32000.0,CPD_503,CC(C)ONC(=O)c1ccc2c(c1)cc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,CC(C)ONC(=O)[*:1],7.61,2.516,57.0,0.88,2.96,-2.75,0.88,4.040309394093478,0.20511341238268432
CC(C)N1CCC(NC(=O)c2cc3c([*:1])cccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_132,CC(C)N1CCC(NC(=O)c2cc3c(C(F)(F)F)cccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,FC(F)(F)[*:1],7.82,2.572,90.0,CPD_154,CC(C)N1CCC(NC(=O)c2cc3c(CO)cccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,OC[*:1],8.7,0.769,2500.0,0.88,-1.8,1.44,0.88,2.3051247254758254,0.34440588798894073
CC(C)N1CCC(NC(=O)c2cc3c(C(=O)OC[*:1])cccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CPD_155,CC(C)N1CCC(NC(=O)c2cc3c(C(=O)OCOC(=O)C(C)(C)C)cccc3n2Cc2cc(-c3ccc(Cl)s3)on2)CC1,CC(C)(C)C(=O)O[*:1],7.88,3.166,45.0,CPD_186,Cc1oc(=O)oc1COC(=O)c1cccc2c1cc(C(=O)NC1CCN(C(C)C)CC1)n2Cc1cc(-c2ccc(Cl)s2)on1,Cc1oc(=O)oc1[*:1],8.75,3.186,9.7,0.87,0.02,-0.67,0.87,0.6702984409947558,0.9453455110275011
